epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9942064881324768,0.5119758248329163,0.023316742852330208,0.0021936697885394096,0.006151142530143261,0.9984976649284363,0.5,0.014224935322999954,0.0,0.0
1,0.9984720945358276,0.6061791181564331,0.010767655447125435,0.0,0.0,0.9984976649284363,0.5,0.011596797034144402,0.0,0.0
2,0.9984720945358276,0.7234675288200378,0.010143662802875042,0.0,0.0,0.9984976649284363,0.5769128203392029,0.011019391939043999,0.0,0.0
3,0.9984720945358276,0.7672320008277893,0.00937690306454897,0.0,0.0,0.9984976649284363,0.5606338977813721,0.010638388805091381,0.0,0.0
4,0.9984734058380127,0.8210226893424988,0.00823813583701849,1.0,0.0008787346305325627,0.9984976649284363,0.6828612089157104,0.009491251781582832,0.0,0.0
5,0.9984962344169617,0.8899030685424805,0.006707257125526667,0.7647058963775635,0.022847101092338562,0.9984976649284363,0.8107302188873291,0.007322937715798616,0.0,0.0
6,0.9986143708229065,0.9068194031715393,0.005497302394360304,0.6934306621551514,0.16695958375930786,0.9982159733772278,0.9673738479614258,0.004190613981336355,0.42500001192092896,0.53125
7,0.998848021030426,0.907518744468689,0.0047233146615326405,0.7243589758872986,0.3971880376338959,0.9989671111106873,0.9682607650756836,0.0028650867752730846,0.6388888955116272,0.71875
8,0.9989795684814453,0.9146122336387634,0.00418914994224906,0.7506631016731262,0.497363805770874,0.9993427395820618,0.9685963988304138,0.002207641489803791,0.7142857313156128,0.9375
9,0.9990735650062561,0.9287757277488708,0.003793421434238553,0.7666666507720947,0.5659050941467285,0.9993427395820618,0.9842332601547241,0.0017142373835667968,0.7142857313156128,0.9375
10,0.9992373585700989,0.9383448958396912,0.003245321335271001,0.8038379549980164,0.6625658869743347,0.9996244311332703,0.9843250513076782,0.0012309839949011803,0.8157894611358643,0.96875
11,0.9993367195129395,0.9367228746414185,0.0030324014369398355,0.827235758304596,0.7152900099754333,0.9997183084487915,0.9843287467956543,0.0011332524009048939,0.8611111044883728,0.96875
12,0.9993796944618225,0.9398826956748962,0.0028342269361019135,0.8326771855354309,0.7434095144271851,0.9999061226844788,0.9843478202819824,0.0007170700700953603,0.96875,0.96875
13,0.9994602799415588,0.9430584907531738,0.0026031043380498886,0.859375,0.7732864618301392,0.9998591542243958,0.984348475933075,0.0007952273590490222,0.939393937587738,0.96875
14,0.9994629621505737,0.944374680519104,0.0025386919733136892,0.8461538553237915,0.7926186323165894,0.9998121857643127,0.9843456745147705,0.0008658160222694278,0.9117646813392639,0.96875
15,0.9995341300964355,0.9466005563735962,0.0023906691931188107,0.8672237992286682,0.8207381367683411,0.999953031539917,0.9997090697288513,0.0006448288913816214,1.0,0.96875
16,0.9995529055595398,0.9439802765846252,0.0023434709291905165,0.8709677457809448,0.8304042220115662,0.999953031539917,0.9843536019325256,0.0005560252466239035,1.0,0.96875
17,0.999594509601593,0.9435984492301941,0.002253876067698002,0.8863216042518616,0.8427065014839172,0.9999061226844788,0.9843478202819824,0.0005690187681466341,0.96875,0.96875
18,0.9996119737625122,0.9488455653190613,0.002147820545360446,0.8898071646690369,0.8514938354492188,0.999953031539917,0.9994849562644958,0.0006682095117866993,1.0,0.96875
19,0.9995891451835632,0.9492579698562622,0.00217043817974627,0.8858998417854309,0.8391915559768677,0.999953031539917,0.9997832775115967,0.0006633428274653852,1.0,0.96875
20,0.9996119737625122,0.9483906626701355,0.00217728060670197,0.8905243873596191,0.8506151437759399,0.9998591542243958,0.9999749064445496,0.0006265444098971784,0.939393937587738,0.96875
21,0.9995824098587036,0.9505828022956848,0.0021901631262153387,0.8832252025604248,0.8374341130256653,0.9999061226844788,0.9999816417694092,0.0006876899278722703,0.96875,0.96875
22,0.9996052384376526,0.9492409825325012,0.0021435474045574665,0.8864468932151794,0.8506151437759399,0.999953031539917,0.9999815821647644,0.0009794858051463962,1.0,0.96875
23,0.9996361136436462,0.9514495134353638,0.0020516025833785534,0.9010175466537476,0.8558875322341919,0.999953031539917,0.9999793767929077,0.0006098035955801606,1.0,0.96875
24,0.9996240735054016,0.9531958103179932,0.002025529043748975,0.8907103538513184,0.8594024777412415,0.999953031539917,0.9998155236244202,0.0009367408347316086,1.0,0.96875
25,0.9996455311775208,0.9571666121482849,0.0019424203783273697,0.8965517282485962,0.868189811706543,0.999953031539917,0.9999132752418518,0.0008834187174215913,1.0,0.96875
26,0.9996388554573059,0.9567347764968872,0.001956893829628825,0.8968036770820618,0.862917423248291,0.9999061226844788,0.9999881982803345,0.00075267389183864,0.96875,0.96875
27,0.9996469020843506,0.9598014950752258,0.0019407343352213502,0.9010082483291626,0.8637961149215698,0.999953031539917,0.9999955892562866,0.0004117244388908148,1.0,0.96875
28,0.9996455311775208,0.9589338898658752,0.0019064185908064246,0.9001831412315369,0.8637961149215698,0.999953031539917,0.9999925494194031,0.0006613004952669144,1.0,0.96875
29,0.9996576309204102,0.9593948721885681,0.001883088145405054,0.8988256454467773,0.8743409514427185,0.999953031539917,0.999971330165863,0.001034823595546186,1.0,0.96875
30,0.9996482133865356,0.9628840088844299,0.0018718751380220056,0.8953068852424622,0.8717047572135925,0.999953031539917,1.0,0.0004924252280034125,1.0,0.96875
31,0.9996710419654846,0.958512544631958,0.001852498622611165,0.9070191383361816,0.8743409514427185,0.9999061226844788,0.9999948143959045,0.0010358789004385471,0.96875,0.96875
32,0.9996683597564697,0.9611508250236511,0.0018416423117741942,0.9061075448989868,0.8734622001647949,0.999953031539917,0.9999845623970032,0.0003616380272433162,1.0,0.96875
33,0.9996656775474548,0.9607049226760864,0.0018460710998624563,0.9029918313026428,0.8752197027206421,0.999953031539917,1.0,0.00037660764064639807,1.0,0.96875
34,0.999660313129425,0.9624767899513245,0.0018061372684314847,0.8968609571456909,0.8787346482276917,0.999953031539917,0.9999956488609314,0.0006923051550984383,1.0,0.96875
35,0.9996616244316101,0.9633657336235046,0.0017570058116689324,0.8962432742118835,0.880492091178894,0.999953031539917,0.9999985098838806,0.0003550418186932802,0.9696969985961914,1.0
36,0.9996616244316101,0.9616174101829529,0.0017622398445382714,0.8941280841827393,0.88312828540802,0.999953031539917,1.0,0.00045914360089227557,1.0,0.96875
37,0.9996629953384399,0.9660149812698364,0.0017114122165367007,0.8970456719398499,0.880492091178894,0.999953031539917,0.999988317489624,0.0008761356002651155,1.0,0.96875
38,0.999683141708374,0.9651092290878296,0.0016827521612867713,0.9026785492897034,0.888400673866272,0.999953031539917,1.0,0.00040481737232767045,1.0,0.96875
39,0.9996844530105591,0.9651528596878052,0.001623373944312334,0.9006211161613464,0.8919156193733215,1.0,1.0,0.00033947612973861396,1.0,1.0
40,0.9996979236602783,0.966476559638977,0.001568090170621872,0.9029126167297363,0.8989455103874207,0.9996713399887085,1.0000001192092896,0.0010720096761360765,0.8205128312110901,1.0
41,0.9996790885925293,0.9673267602920532,0.0016260106349363923,0.896734356880188,0.8927943706512451,1.0,1.0,0.0001841578632593155,1.0,1.0
42,0.9996656775474548,0.9651279449462891,0.0016607838915660977,0.895111083984375,0.8848857879638672,1.0,1.0,0.0003729327872861177,1.0,1.0
43,0.9997045993804932,0.9691000580787659,0.001519787940196693,0.9047619104385376,0.9015817046165466,1.0,1.0,0.00035521783865988255,1.0,1.0
44,0.999705970287323,0.9682089686393738,0.001535575371235609,0.9062776565551758,0.9007030129432678,1.0,1.0,0.00022133752645459026,1.0,1.0
45,0.9997086524963379,0.9690897464752197,0.0015374607173725963,0.9086069464683533,0.8998242616653442,1.0,0.9999999403953552,0.00022842807811684906,1.0,1.0
46,0.9996965527534485,0.9686575531959534,0.0015414879890158772,0.9021164178848267,0.8989455103874207,1.0,1.0,0.00039950330392457545,1.0,1.0
47,0.999709963798523,0.9686585068702698,0.0015069791115820408,0.9058098793029785,0.9042178988456726,1.0,1.0,0.0004300365981180221,1.0,1.0
48,0.999705970287323,0.9660041332244873,0.001586025464348495,0.9099018573760986,0.8963093161582947,0.999953031539917,0.9999552369117737,0.0007619878160767257,1.0,0.96875
49,0.9996710419654846,0.9677538871765137,0.0016004177741706371,0.8933920860290527,0.8910369277000427,1.0,1.0,0.00018406198068987578,1.0,1.0
50,0.9997166991233826,0.9712764024734497,0.0014272865373641253,0.9090909361839294,0.9050966501235962,0.999953031539917,0.9999999403953552,0.0004724022001028061,1.0,0.96875
51,0.9997153878211975,0.971250057220459,0.0014690342359244823,0.9104610085487366,0.9024604558944702,1.0,0.9999999403953552,0.0004904356319457293,1.0,1.0
52,0.999728798866272,0.9708291292190552,0.0014408706920221448,0.9163700938224792,0.9050966501235962,1.0,1.0,0.0002699994365684688,1.0,1.0
53,0.9996965527534485,0.9721472859382629,0.0014708199305459857,0.9007030129432678,0.9007030129432678,1.0,1.0,0.00038238929118961096,1.0,1.0
54,0.9996750950813293,0.9729934930801392,0.001515946234576404,0.8929824829101562,0.8945518732070923,1.0,0.9999999403953552,0.0003163829678669572,1.0,1.0
55,0.9997220635414124,0.9708284139633179,0.0014744051732122898,0.9108561277389526,0.9068541526794434,1.0,1.0,0.0003504454798530787,1.0,1.0
56,0.9997234344482422,0.975208580493927,0.001360642840154469,0.9109347462654114,0.9077328443527222,1.0,1.0,0.00028283713618293405,1.0,1.0
57,0.999728798866272,0.9743350148200989,0.0013564261607825756,0.9134275913238525,0.9086115956306458,1.0,1.0,0.0005416814819909632,1.0,1.0
58,0.999705970287323,0.9756446480751038,0.0014143408043310046,0.903424084186554,0.9042178988456726,1.0,1.0,0.0001878713519545272,1.0,1.0
59,0.9997072815895081,0.9716935753822327,0.0014449075097218156,0.9049295783042908,0.9033392071723938,1.0,0.9999999403953552,0.0004058662452735007,1.0,1.0
60,0.999705970287323,0.9695096611976624,0.0014432575553655624,0.9027169346809387,0.9050966501235962,1.0,1.0,0.0004188019665889442,1.0,1.0
61,0.9997354745864868,0.977837085723877,0.001338732079602778,0.9160035252571106,0.9103690981864929,1.0,1.0,0.00042070334893651307,1.0,1.0
62,0.999730110168457,0.974750816822052,0.0013662442797794938,0.9127753376960754,0.9103690981864929,1.0,1.0,0.0002914212236646563,1.0,1.0
63,0.999728798866272,0.9778271317481995,0.001344700576737523,0.9098073840141296,0.9130052924156189,1.0,1.0,0.000369914632756263,1.0,1.0
64,0.9997341632843018,0.9747511148452759,0.0013198278611525893,0.9137324094772339,0.9121265411376953,0.999953031539917,1.0,0.000544882146641612,1.0,0.96875
65,0.9997234344482422,0.9730054140090942,0.0013971629086881876,0.9131205677986145,0.9050966501235962,1.0,1.0,0.0003111122641712427,1.0,1.0
66,0.9997126460075378,0.975635826587677,0.001342874369584024,0.9088495373725891,0.9024604558944702,1.0,1.0,0.00027078253333456814,1.0,1.0
67,0.999728798866272,0.976043164730072,0.0013552943710237741,0.9126983880996704,0.9094903469085693,1.0,1.0,0.00030440764385275543,1.0,1.0
68,0.999748945236206,0.980021595954895,0.0012998181628063321,0.9189427495002747,0.9165202379226685,1.0,1.0,0.00022872515546623617,1.0,1.0
69,0.9997368454933167,0.9796061515808105,0.0012696745106950402,0.9131578803062439,0.9147627353668213,1.0,1.0,0.00048874132335186,1.0,1.0
70,0.9997247457504272,0.979563295841217,0.0013098805211484432,0.9095697999000549,0.9103690981864929,0.9999061226844788,0.9999412298202515,0.0005935037625022233,0.96875,0.96875
71,0.9997019171714783,0.9751508831977844,0.0014244518242776394,0.9074733257293701,0.8963093161582947,1.0,1.0,0.00039683826616965234,1.0,1.0
72,0.9997180700302124,0.9795746803283691,0.0013161817332729697,0.9077328443527222,0.9077328443527222,1.0,1.0,0.0002905761357396841,1.0,1.0
73,0.9997435808181763,0.9804535508155823,0.001246279920451343,0.9149868488311768,0.9173989295959473,1.0,0.9999999403953552,0.00034033122938126326,1.0,1.0
74,0.9997422099113464,0.97868812084198,0.0012521760072559118,0.9149122834205627,0.9165202379226685,1.0,1.0,0.00022463290952146053,1.0,1.0
75,0.9997274279594421,0.9839722514152527,0.0011998313711956143,0.9082969427108765,0.9138839840888977,1.0,1.0,0.00023161470016930252,1.0,1.0
76,0.9997543096542358,0.9808981418609619,0.0011885238345712423,0.9207048416137695,0.9182776808738708,1.0,1.0,0.00033376540523022413,1.0,1.0
77,0.9997381567955017,0.9813171029090881,0.001237352262251079,0.9168877005577087,0.9112477898597717,1.0,1.0,0.0002577010018285364,1.0,1.0
78,0.9997368454933167,0.980021059513092,0.0012593609280884266,0.9146126508712769,0.9130052924156189,1.0,1.0,0.00030402650008909404,1.0,1.0
79,0.9997327923774719,0.9804631471633911,0.0012403333093971014,0.9114811420440674,0.9138839840888977,1.0,1.0,0.00021193512657191604,1.0,1.0
80,0.9997475743293762,0.977360725402832,0.0012443711748346686,0.9181337952613831,0.9165202379226685,1.0,1.0,0.0003946360666304827,1.0,1.0
81,0.9997381567955017,0.983077883720398,0.0012293471954762936,0.9146877527236938,0.9138839840888977,0.9999061226844788,1.0,0.0004296384868212044,0.9411764740943909,1.0
82,0.9997462630271912,0.9804549217224121,0.001232343027368188,0.918799638748169,0.9147627353668213,0.9998591542243958,0.9999977946281433,0.0006509489612653852,0.9142857193946838,1.0
83,0.9997261166572571,0.9787111282348633,0.0012934296391904354,0.909649133682251,0.9112477898597717,1.0,1.0,0.00046901594032533467,1.0,1.0
84,0.9997341632843018,0.9835032820701599,0.0012676354963332415,0.9137324094772339,0.9121265411376953,1.0,1.0,0.0004185090074315667,1.0,1.0
85,0.9997475743293762,0.982623815536499,0.001234799507074058,0.9203540086746216,0.9138839840888977,1.0,1.0,0.000298085535177961,1.0,1.0
86,0.999751627445221,0.9848278760910034,0.0011996862012892962,0.9198237657546997,0.9173989295959473,1.0,0.9999999403953552,0.0002218351437477395,1.0,1.0
87,0.9997435808181763,0.9822220206260681,0.0012113238917663693,0.9164468050003052,0.9156414866447449,1.0,1.0,0.000302787811961025,1.0,1.0
88,0.9997422099113464,0.9808960556983948,0.0012042277958244085,0.9163732528686523,0.9147627353668213,1.0,1.0,0.0003017040726263076,1.0,1.0
89,0.9997126460075378,0.9812977910041809,0.0013239794643595815,0.9059754014015198,0.9059754014015198,1.0,1.0,0.00041028036503121257,1.0,1.0
90,0.9997448921203613,0.9861485958099365,0.0011877920478582382,0.9165202379226685,0.9165202379226685,1.0,1.0,0.00036388239823281765,1.0,1.0
91,0.999748945236206,0.9852994084358215,0.0011466795112937689,0.9211691617965698,0.9138839840888977,1.0,1.0,0.0003698563377838582,1.0,1.0
92,0.9997381567955017,0.9852518439292908,0.001236433512531221,0.9161518216133118,0.9121265411376953,1.0,1.0,0.00046017090789973736,1.0,1.0
93,0.9997395277023315,0.98176509141922,0.0012116377474740148,0.9140350818634033,0.9156414866447449,1.0,1.0,0.00031578080961480737,1.0,1.0
94,0.9997408986091614,0.9883701801300049,0.0011563857551664114,0.913385808467865,0.9173989295959473,1.0,1.0,0.00039483519503846765,1.0,1.0
95,0.999748945236206,0.9892327785491943,0.001131295459344983,0.9189427495002747,0.9165202379226685,1.0,1.0,0.0003721548418980092,1.0,1.0
96,0.9997569918632507,0.9848325848579407,0.0011703178752213717,0.9201053380966187,0.9209138751029968,1.0,1.0,0.00045956665417179465,1.0,1.0
97,0.999751627445221,0.9879291653633118,0.001125129172578454,0.9198237657546997,0.9173989295959473,1.0,1.0,0.0002101190621033311,1.0,1.0
98,0.999751627445221,0.9865932464599609,0.0011523886350914836,0.9220548868179321,0.9147627353668213,1.0,1.0,0.00025341572472825646,1.0,1.0
99,0.9997462630271912,0.9861639142036438,0.0011685254285112023,0.9165934920310974,0.9173989295959473,1.0,0.9999999403953552,0.00023780389165040106,1.0,1.0
100,0.9997609853744507,0.9870555996894836,0.0011346146930009127,0.922535240650177,0.9209138751029968,0.999953031539917,0.9998905658721924,0.0005037107621319592,1.0,0.96875
101,0.999748945236206,0.9835051894187927,0.0012008979683741927,0.9211691617965698,0.9138839840888977,1.0,1.0,0.0003786811139434576,1.0,1.0
102,0.9997408986091614,0.9865967631340027,0.0011406674748286605,0.9148375988006592,0.9156414866447449,1.0,1.0,0.0002992026857100427,1.0,1.0
103,0.9997435808181763,0.9848338961601257,0.0011854985496029258,0.9164468050003052,0.9156414866447449,1.0,1.0,0.00026218657149001956,1.0,1.0
104,0.999751627445221,0.987041711807251,0.001118833664804697,0.9190853238105774,0.9182776808738708,1.0,1.0,0.0002596275007817894,1.0,1.0
105,0.9997636675834656,0.9870240092277527,0.0011207034112885594,0.922671377658844,0.922671377658844,1.0,0.9999999403953552,0.0004046416433993727,1.0,1.0
106,0.9997650384902954,0.9870427846908569,0.0011042205151170492,0.9234828352928162,0.922671377658844,1.0,1.0,0.0002899563987739384,1.0,1.0
107,0.9997583031654358,0.9879100918769836,0.0011234907433390617,0.922398567199707,0.9191564321517944,1.0,1.0,0.00032819327316246927,1.0,1.0
108,0.9997596740722656,0.9848418831825256,0.00118225475307554,0.9224669337272644,0.9200351238250732,1.0,1.0,0.00032036518678069115,1.0,1.0
109,0.9997448921203613,0.9874916672706604,0.0011535817757248878,0.9187279343605042,0.9138839840888977,1.0,1.0,0.0003533273993525654,1.0,1.0
110,0.9997502565383911,0.9901162385940552,0.0011129050981253386,0.9190140962600708,0.9173989295959473,1.0,1.0000001192092896,0.00036413336056284606,1.0,1.0
111,0.9997502565383911,0.9879363775253296,0.0011369658168405294,0.9160839319229126,0.9209138751029968,1.0,1.0,0.0003684312105178833,1.0,1.0
112,0.999748945236206,0.9839694499969482,0.0011803560191765428,0.9182057976722717,0.9173989295959473,1.0,1.0,0.00038960014353506267,1.0,1.0
113,0.999752938747406,0.9870355725288391,0.001156418933533132,0.9236234426498413,0.9138839840888977,1.0,1.0,0.00032700994051992893,1.0,1.0
114,0.999751627445221,0.9870584607124329,0.001110309618525207,0.9205648899078369,0.9165202379226685,1.0,1.0,0.0003986359224654734,1.0,1.0
115,0.9997556209564209,0.9865859150886536,0.001143686007708311,0.9230088591575623,0.9165202379226685,1.0,1.0,0.00033879236434586346,1.0,1.0
116,0.9997569918632507,0.9865829348564148,0.0011366773396730423,0.9223300814628601,0.9182776808738708,1.0,0.9999999403953552,0.0003175623423885554,1.0,1.0
117,0.9997636675834656,0.9874693155288696,0.0010845439974218607,0.9211909174919128,0.9244288206100464,1.0,1.0,0.0003640631039161235,1.0,1.0
118,0.9997583031654358,0.9887951612472534,0.001120468252338469,0.9231448769569397,0.9182776808738708,1.0,1.0,0.00037860494921915233,1.0,1.0
119,0.9997502565383911,0.9879165887832642,0.0011193741811439395,0.9197530746459961,0.9165202379226685,1.0,1.0,0.0003550781693775207,1.0,1.0
120,0.9997435808181763,0.988356351852417,0.0011504103895276785,0.917180597782135,0.9147627353668213,1.0,1.0,0.0002466175938025117,1.0,1.0
